pitching_box_score_id,season,player_id,team_id,game_id,opponent_id,app,gs,ip,ha,r,er,bb,so,sho,bf,p_oab,x2b_a,x3b_a,hr_a,cso,wp,bk,hb,kl,ibb,cg,inh_run,inh_run_score,sha,sfa,cia,pitches,go,fo,w,l,sv,ord_appeared,player_id,first_name,last_name
2138,2023,10925,366,2366892,654,1,0,2,1,0,0,1,3,0,9,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,44,2,1,0,0,0,2,10925,Emma,HUTCHINSON
3881,2023,21429,366,2367101,654,1,1,4,2,0,0,3,2,0,16,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,59,5,4,1,0,0,1,21429,Lauren,MENZINA
5153,2023,21429,366,2367205,655,1,1,1.1,2,2,2,3,2,0,9,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,36,2,0,0,0,0,1,21429,Lauren,MENZINA
5800,2023,10925,366,2367551,381,1,1,4,3,2,2,3,1,0,17,14,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,65,1,9,1,0,0,1,10925,Emma,HUTCHINSON
7294,2023,21429,366,2367991,228,1,0,3,3,1,1,1,2,0,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,1,0,0,1,2,21429,Lauren,MENZINA
9161,2023,10925,366,2368189,1092,1,1,3,1,0,0,1,0,0,12,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,3,6,0,0,0,1,10925,Emma,HUTCHINSON
10960,2023,10925,366,2368311,365,1,0,1.1,1,0,0,0,1,0,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,2,1,0,0,0,3,10925,Emma,HUTCHINSON
10961,2023,21429,366,2368311,365,1,1,2,1,1,1,1,0,0,9,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,32,5,1,0,0,0,1,21429,Lauren,MENZINA
13503,2023,10925,366,2369118,430,1,0,2.1,7,2,2,1,0,0,14,13,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,37,2,4,0,0,0,2,10925,Emma,HUTCHINSON
13504,2023,21429,366,2369118,430,1,0,1.1,3,2,2,2,1,0,8,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,2,0,0,0,0,4,21429,Lauren,MENZINA
15553,2023,10925,366,2369424,244,1,1,5,4,2,2,0,1,0,18,18,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,56,4,9,1,0,0,1,10925,Emma,HUTCHINSON
17622,2023,10925,366,2369715,1004,1,1,3.2,3,2,2,3,1,0,16,11,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,59,4,5,0,0,0,1,10925,Emma,HUTCHINSON
19793,2023,21429,366,2370472,368,1,1,3,2,0,0,1,1,0,12,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,5,3,1,0,0,1,21429,Lauren,MENZINA
21949,2023,10925,366,2370919,287,1,1,2,1,0,0,0,0,0,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,3,3,0,0,0,1,10925,Emma,HUTCHINSON
21950,2023,21429,366,2370919,287,1,0,2,2,0,0,0,2,0,9,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,30,3,0,1,0,0,2,21429,Lauren,MENZINA
25155,2023,10925,366,2371886,497,1,1,4.2,1,1,0,2,2,0,18,15,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,60,2,10,0,0,0,1,10925,Emma,HUTCHINSON
27794,2023,10925,366,2372608,497,1,0,0.2,1,1,1,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15,0,2,0,0,0,2,10925,Emma,HUTCHINSON
31128,2023,21429,366,2373704,231,1,0,4,8,1,1,0,0,0,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,5,6,1,0,0,2,21429,Lauren,MENZINA
32020,2023,10925,366,2373997,231,1,0,2,1,0,0,0,2,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,2,2,0,0,1,2,10925,Emma,HUTCHINSON
35946,2023,10925,366,2374681,697,1,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,2,0,0,0,6,10925,Emma,HUTCHINSON
35947,2023,21429,366,2374681,697,1,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,2,1,0,0,0,2,21429,Lauren,MENZINA
37492,2023,10925,366,2374945,419,1,1,1.2,2,4,0,3,2,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,2,0,1,0,1,10925,Emma,HUTCHINSON
38978,2023,21429,366,2375537,419,1,1,2.1,3,1,1,0,1,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,1,0,0,0,1,21429,Lauren,MENZINA
40690,2023,10925,366,2375737,508,1,1,3,1,0,0,2,1,0,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,7,0,0,0,1,10925,Emma,HUTCHINSON
42026,2023,21429,366,2376046,77,1,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,3,21429,Lauren,MENZINA
42844,2023,10925,366,2376589,365,1,1,1.2,3,2,2,2,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,1,0,0,0,1,10925,Emma,HUTCHINSON
42845,2023,21429,366,2376589,365,1,0,2.2,2,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,26,5,2,0,0,0,3,21429,Lauren,MENZINA
46390,2023,10925,366,2377039,498,1,0,1,1,0,0,1,0,0,6,3,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,27,0,3,0,0,0,3,10925,Emma,HUTCHINSON
