Norms_ID,Sport_ID,Position_ID,Norm_Group_ID,Year_ID,Percentile_ID,Metric_ID,Pillar_ID,Norm_Value
14315,2,1,1,2,5,4,1,72.00
14316,2,2,1,2,5,4,1,72.00
14317,2,3,1,2,5,4,1,78.00
14318,2,4,1,2,5,4,1,78.00
14319,2,5,1,2,5,4,1,72.00
14320,2,1,1,2,4,4,1,76.00
14321,2,2,1,2,4,4,1,76.00
14322,2,3,1,2,4,4,1,83.00
14323,2,4,1,2,4,4,1,84.00
14324,2,5,1,2,4,4,1,75.00
14325,2,1,1,2,3,4,1,80.75
14326,2,2,1,2,3,4,1,81.50
14327,2,3,1,2,3,4,1,87.00
14328,2,4,1,2,3,4,1,88.00
14329,2,5,1,2,3,4,1,82.00
14330,2,1,1,2,2,4,1,90.40
14331,2,2,1,2,2,4,1,90.00
14332,2,3,1,2,2,4,1,93.35
14333,2,4,1,2,2,4,1,95.80
14334,2,5,1,2,2,4,1,87.75
14335,2,1,1,2,1,4,1,96.00
14336,2,2,1,2,1,4,1,104.00
14337,2,3,1,2,1,4,1,100.00
14338,2,4,1,2,1,4,1,102.00
14339,2,5,1,2,1,4,1,95.00
14415,2,1,1,2,5,1,1,3.31
14416,2,2,1,2,5,1,1,3.26
14417,2,3,1,2,5,1,1,3.13
14418,2,4,1,2,5,1,1,3.08
14419,2,5,1,2,5,1,1,3.22
14420,2,1,1,2,4,1,1,3.14
14421,2,2,1,2,4,1,1,3.14
14422,2,3,1,2,4,1,1,3.02
14423,2,4,1,2,4,1,1,2.98
14424,2,5,1,2,4,1,1,3.16
14425,2,1,1,2,3,1,1,3.05
14426,2,2,1,2,3,1,1,3.02
14427,2,3,1,2,3,1,1,2.93
14428,2,4,1,2,3,1,1,2.87
14429,2,5,1,2,3,1,1,3.05
14430,2,1,1,2,2,1,1,2.93
14431,2,2,1,2,2,1,1,2.87
14432,2,3,1,2,2,1,1,2.80
14433,2,4,1,2,2,1,1,2.75
14434,2,5,1,2,2,1,1,2.87
14435,2,1,1,2,1,1,1,2.70
14436,2,2,1,2,1,1,1,2.75
14437,2,3,1,2,1,1,1,2.60
14438,2,4,1,2,1,1,1,2.61
14439,2,5,1,2,1,1,1,2.75
14515,2,1,1,2,5,2,1,12.91
14516,2,2,1,2,5,2,1,12.70
14517,2,3,1,2,5,2,1,12.11
14518,2,4,1,2,5,2,1,11.97
14519,2,5,1,2,5,2,1,12.76
14520,2,1,1,2,4,2,1,12.39
14521,2,2,1,2,4,2,1,12.23
14522,2,3,1,2,4,2,1,11.72
14523,2,4,1,2,4,2,1,11.62
14524,2,5,1,2,4,2,1,12.38
14525,2,1,1,2,3,2,1,12.05
14526,2,2,1,2,3,2,1,11.86
14527,2,3,1,2,3,2,1,11.43
14528,2,4,1,2,3,2,1,11.21
14529,2,5,1,2,3,2,1,12.00
14530,2,1,1,2,2,2,1,11.58
14531,2,2,1,2,2,2,1,11.41
14532,2,3,1,2,2,2,1,11.04
14533,2,4,1,2,2,2,1,10.92
14534,2,5,1,2,2,2,1,11.42
