pitching_box_score_id,season,player_id,team_id,game_id,opponent_id,app,gs,ip,ha,r,er,bb,so,sho,bf,p_oab,x2b_a,x3b_a,hr_a,cso,wp,bk,hb,kl,ibb,cg,inh_run,inh_run_score,sha,sfa,cia,pitches,go,fo,w,l,sv,ord_appeared,player_id,first_name,last_name
77610,2023,269,568,2366489,1346,1,0,1,0,1,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,26,1,2,0,0,0,2,269,Abby,Covington
77611,2023,269,568,2388609,1346,1,0,2,1,0,0,0,0,0,7,6,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,27,2,3,0,0,0,3,269,Abby,Covington
78264,2023,269,568,2366602,1334,1,0,0.2,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,0,2,269,Abby,Covington
80778,2023,269,568,2388259,2720,1,0,3.2,6,4,2,2,4,0,21,17,2,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,4,1,0,0,0,3,269,Abby,Covington
81906,2023,18328,568,2368066,2720,1,0,3.2,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2,0,0,0,2,18328,Katherine,Raper
85594,2023,269,568,2369308,1012,1,0,3,4,3,2,3,2,0,17,14,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,1,3,269,Abby,Covington
85596,2023,18328,568,2369308,1012,1,0,3,5,1,1,1,0,0,16,15,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,3,1,0,0,2,18328,Katherine,Raper
86600,2023,269,568,2388168,1012,1,0,2.2,5,4,3,0,4,0,14,13,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,2,2,0,0,0,3,269,Abby,Covington
86601,2023,269,568,2368847,1012,1,0,3,4,1,1,2,2,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,3,269,Abby,Covington
86604,2023,18328,568,2388168,1012,1,0,0.2,0,0,0,1,1,0,5,3,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,4,18328,Katherine,Raper
86605,2023,18328,568,2368847,1012,1,1,2.2,5,6,4,4,3,0,18,13,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,2,0,0,0,1,18328,Katherine,Raper
88578,2023,269,568,2370202,155,1,0,0.1,0,2,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,2,269,Abby,Covington
88581,2023,18328,568,2387885,155,1,0,1,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,2,18328,Katherine,Raper
88582,2023,18328,568,2370202,155,1,0,1.2,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,16,3,1,1,0,0,3,18328,Katherine,Raper
89764,2023,269,568,2388063,155,1,0,3.2,4,2,2,2,3,0,16,13,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,59,4,3,0,0,0,2,269,Abby,Covington
89769,2023,18328,568,2370645,155,1,0,1.2,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,1,3,0,0,0,2,18328,Katherine,Raper
89770,2023,18328,568,2388063,155,1,0,0.1,2,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,0,0,3,18328,Katherine,Raper
93512,2023,269,568,2387422,9754,1,0,0.2,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,3,269,Abby,Covington
93515,2023,18328,568,2387422,9754,1,0,1.2,3,3,3,2,2,0,10,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,36,3,0,1,0,0,2,18328,Katherine,Raper
94420,2023,269,568,2372551,9754,1,0,2,3,3,3,2,3,0,11,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44,2,1,0,1,0,2,269,Abby,Covington
94424,2023,18328,568,2388294,9754,1,0,2.2,1,1,1,3,2,0,12,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,54,5,1,0,0,0,3,18328,Katherine,Raper
97985,2023,269,568,2373823,1083,1,0,2,3,1,1,2,4,0,11,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,269,Abby,Covington
97986,2023,269,568,2385645,1083,1,0,2,1,0,0,0,5,0,7,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,269,Abby,Covington
97989,2023,18328,568,2385645,1083,1,0,2.1,2,3,1,4,3,0,13,9,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,1,0,2,18328,Katherine,Raper
102905,2023,269,568,2375068,30134,1,0,2.2,2,0,0,1,2,0,9,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,269,Abby,Covington
102906,2023,269,568,2384644,30134,1,0,1.1,3,0,0,0,2,0,8,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,269,Abby,Covington
102909,2023,18328,568,2384644,30134,1,0,1.1,3,5,3,2,2,0,9,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,18328,Katherine,Raper
107661,2023,269,568,2376235,11403,1,0,1,0,2,2,4,1,0,7,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,3,269,Abby,Covington
107662,2023,269,568,2385728,11403,1,0,0.1,3,1,1,1,1,0,5,4,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,269,Abby,Covington
107666,2023,18328,568,2385728,11403,1,0,1,2,3,3,2,1,0,7,5,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,3,18328,Katherine,Raper
107667,2023,18328,568,2376235,11403,1,0,1.1,0,1,0,2,1,0,6,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,2,18328,Katherine,Raper
109156,2023,269,568,2386360,11403,1,0,1,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,269,Abby,Covington
112155,2023,269,568,2385827,8577,1,0,3.1,5,3,3,1,1,0,15,14,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,1,0,0,2,269,Abby,Covington
112988,2023,269,568,2384231,8577,1,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,269,Abby,Covington
112991,2023,18328,568,2384231,8577,1,0,4.2,3,0,0,3,4,0,19,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,5,1,0,0,2,18328,Katherine,Raper
118263,2023,269,568,2378856,11416,1,0,1.1,2,1,1,1,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,1,0,2,269,Abby,Covington
118264,2023,269,568,2382663,11416,1,0,1.2,4,1,1,1,3,0,9,8,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,40,0,1,0,0,0,2,269,Abby,Covington
118267,2023,18328,568,2382663,11416,1,0,0.2,0,0,0,2,1,0,4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,1,0,0,0,0,3,18328,Katherine,Raper
119427,2023,269,568,2383263,11416,1,0,2,0,0,0,2,2,0,8,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,32,3,1,0,0,1,2,269,Abby,Covington
124491,2023,269,568,2385597,413,1,0,0.2,2,1,1,2,0,0,5,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,269,Abby,Covington
124493,2023,18328,568,2385597,413,1,0,2,3,4,0,1,2,0,11,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,3,18328,Katherine,Raper
