Norms_ID,Sport_ID,Position_ID,Norm_Group_ID,Year_ID,Percentile_ID,Metric_ID,Pillar_ID,Norm_Value
14340,2,1,2,2,5,4,1,70.00
14341,2,2,2,2,5,4,1,70.00
14342,2,3,2,2,5,4,1,74.00
14343,2,4,2,2,5,4,1,74.00
14344,2,5,2,2,5,4,1,68.00
14345,2,1,2,2,4,4,1,76.00
14346,2,2,2,2,4,4,1,74.50
14347,2,3,2,2,4,4,1,78.00
14348,2,4,2,2,4,4,1,80.00
14349,2,5,2,2,4,4,1,73.00
14350,2,1,2,2,3,4,1,82.00
14351,2,2,2,2,3,4,1,79.00
14352,2,3,2,2,3,4,1,83.00
14353,2,4,2,2,3,4,1,84.00
14354,2,5,2,2,3,4,1,80.00
14355,2,1,2,2,2,4,1,88.55
14356,2,2,2,2,2,4,1,85.95
14357,2,3,2,2,2,4,1,87.75
14358,2,4,2,2,2,4,1,93.50
14359,2,5,2,2,2,4,1,88.00
14360,2,1,2,2,1,4,1,95.00
14361,2,2,2,2,1,4,1,104.00
14362,2,3,2,2,1,4,1,94.00
14363,2,4,2,2,1,4,1,100.00
14364,2,5,2,2,1,4,1,94.00
14440,2,1,2,2,5,1,1,3.35
14441,2,2,2,2,5,1,1,3.29
14442,2,3,2,2,5,1,1,3.19
14443,2,4,2,2,5,1,1,3.16
14444,2,5,2,2,5,1,1,3.33
14445,2,1,2,2,4,1,1,3.21
14446,2,2,2,2,4,1,1,3.18
14447,2,3,2,2,4,1,1,3.07
14448,2,4,2,2,4,1,1,3.03
14449,2,5,2,2,4,1,1,3.19
14450,2,1,2,2,3,1,1,3.08
14451,2,2,2,2,3,1,1,3.07
14452,2,3,2,2,3,1,1,2.96
14453,2,4,2,2,3,1,1,2.93
14454,2,5,2,2,3,1,1,3.06
14455,2,1,2,2,2,1,1,2.88
14456,2,2,2,2,2,1,1,2.87
14457,2,3,2,2,2,1,1,2.81
14458,2,4,2,2,2,1,1,2.80
14459,2,5,2,2,2,1,1,2.91
14460,2,1,2,2,1,1,1,2.80
14461,2,2,2,2,1,1,1,2.61
14462,2,3,2,2,1,1,1,2.60
14463,2,4,2,2,1,1,1,2.50
14464,2,5,2,2,1,1,1,2.63
14540,2,1,2,2,5,2,1,13.30
14541,2,2,2,2,5,2,1,13.10
14542,2,3,2,2,5,2,1,12.49
14543,2,4,2,2,5,2,1,12.38
14544,2,5,2,2,5,2,1,13.22
14545,2,1,2,2,4,2,1,12.70
14546,2,2,2,2,4,2,1,12.64
14547,2,3,2,2,4,2,1,12.11
14548,2,4,2,2,4,2,1,11.95
14549,2,5,2,2,4,2,1,12.74
14550,2,1,2,2,3,2,1,12.16
14551,2,2,2,2,3,2,1,12.15
14552,2,3,2,2,3,2,1,11.69
14553,2,4,2,2,3,2,1,11.60
14554,2,5,2,2,3,2,1,12.15
14555,2,1,2,2,2,2,1,11.50
14556,2,2,2,2,2,2,1,11.61
14557,2,3,2,2,2,2,1,11.30
14558,2,4,2,2,2,2,1,11.18
14559,2,5,2,2,2,2,1,11.62
14560,2,1,2,2,1,2,1,10.93
14561,2,2,2,2,1,2,1,10.70
14562,2,3,2,2,1,2,1,10.92
14563,2,4,2,2,1,2,1,10.72
14564,2,5,2,2,1,2,1,11.44
14640,2,1,2,2,5,5,1,67.10
14641,2,2,2,2,5,5,1,68.00
14642,2,3,2,2,5,5,1,64.80
14643,2,4,2,2,5,5,1,63.75
14644,2,5,2,2,5,5,1,66.00
14645,2,1,2,2,4,5,1,77.00
14646,2,2,2,2,4,5,1,77.80
14647,2,3,2,2,4,5,1,72.40
14648,2,4,2,2,4,5,1,70.40
14649,2,5,2,2,4,5,1,73.20
14650,2,1,2,2,3,5,1,87.00
14651,2,2,2,2,3,5,1,86.80
14652,2,3,2,2,3,5,1,80.00
14653,2,4,2,2,3,5,1,80.00
14654,2,5,2,2,3,5,1,83.20
14655,2,1,2,2,2,5,1,101.64
14656,2,2,2,2,2,5,1,106.70
14657,2,3,2,2,2,5,1,90.40
14658,2,4,2,2,2,5,1,96.68
14659,2,5,2,2,2,5,1,103.72
14660,2,1,2,2,1,5,1,118.40
14661,2,2,2,2,1,5,1,122.00
14662,2,3,2,2,1,5,1,106.40
