,,,Batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fielding,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP,FB,FBS,FBS%,FBSW%,FBSM%,CH,CHS,CHS%,CHSW%,CHSM%,RB,RBS,RBS%,RBSW%,RBSM%,DB,DBS,DBS%,DBSW%,DBSM%,SC,SCS,SCS%,SCSW%,SCSM%,CB,CBS,CBS%,CBSW%,CBSM%,DC,DCS,DCS%,DCSW%,DCSM%,KB,KBS,KBS%,KBSW%,KBSM%,KC,KCS,KCS%,KCSW%,KCSM%,OS,OSS,OSS%,OSSW%,OSSM%,TC,A,PO,FPCT,E,DP,TP,INN,PB,SB,SBATT,CS,CS%,PIK,CI
22,McGaffin,Nikki,1,1,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,1,100,-,-,-,0,0,0,0,-,-,0,0,0,0,1,1,0,0,0,0,-,0,0,0,3.1,5,0,28,93,0,0,0,0,0,-,10,8,4,4,2,0,1,8.4,4.2,8,0,0,0,1,100,0,0.435,27.9,3.321,57.14,2,1,0,0,8.477,63.44,53.57,46.67,6.67,40,1.2,3,1,0,0,5.38,0.071,0.5,66.67,33.33,0.4,1,23.81,28.57,45,0.45,0.538,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,3,0,3,1,0,0,0,0,0,0,0,0,-,0,0
2,Gordon,Sarah,10,29,22,0.545,0.655,1.61,0.955,12,8,1,1,2,5,6,6,2,1,1,0,0,0,0,0,0,1,0,19,65.52,4.8,3,90.91,11,40,25,30,0.556,0.429,9,3,4,21,110,3.793,4,13.79,4,13.79,11,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,38,1,37,1,0,0,0,34.2,0,4,6,2,33.33,0,0
13,Coffey,Danieca,13,43,35,0.514,0.605,1.176,0.571,18,16,2,0,0,6,11,8,7,2,0,0,0,0,1,5,55.56,4,0,26,60.47,5.4,1.143,80,11,28.57,14.29,50,0.643,0.5,13,3,2,20,195,4.535,8,18.6,12,27.91,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,19,10,5,0.789,4,0,0,0,0,0,0,0,-,0,0
20,Gammill,Hannah,13,42,30,0.4,0.571,1.105,0.533,12,9,2,1,0,5,7,9,3,0,3,0,0,3,2,1,25,3,0,23,54.76,4.7,3,90,9,33.33,44.44,22.22,0.444,0.364,18,4,3,16,157,3.738,8,19.05,8,19.05,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,51,3,45,0.941,3,3,0,0,0,0,0,0,-,0,0
14,Atwood,Reese,10,22,19,0.579,0.636,1.636,1,11,7,2,0,2,9,4,2,1,0,1,0,0,1,0,1,50,1,0,12,54.55,11,2,94.74,9,22.22,38.89,38.89,0.562,0.571,9,2,4,19,49,2.227,0,0,0,0,9.5,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,45,0,45,1,0,0,0,40.2,2,4,5,1,20,0,0
0,Lis,Jackie,12,31,28,0.321,0.333,0.762,0.429,9,6,3,0,0,6,5,1,7,2,0,1,1,0,1,0,-,0,0,16,51.61,31,0.143,75,10,17.39,30.43,47.83,0.409,0.375,18,1,3,12,111,3.581,2,6.45,3,9.68,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,29,10,18,0.966,1,1,0,0,0,0,0,0,-,0,0
3,Wyckoff,Kailey,11,31,27,0.296,0.387,0.832,0.444,8,5,2,1,0,2,6,4,3,2,0,0,0,1,0,2,50,2,0,16,51.61,7.8,1.333,88.89,9,29.17,50,20.83,0.333,0.125,17,0,3,12,131,4.226,5,16.13,7,22.58,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,10,1,9,1,0,0,0,0,0,0,0,0,-,0,0
12,Coffel,Erin,13,45,39,0.333,0.422,1.012,0.59,13,9,1,0,3,11,13,5,3,0,1,0,0,1,1,0,0,1,0,23,51.11,9,1.667,92.31,16,33.33,47.22,19.44,0.303,0.455,25,6,4,23,163,3.622,6,13.33,8,17.78,13,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,25,7,17,0.96,1,2,0,0,0,0,0,0,-,0,0
47,Morrow,Hailey,9,18,14,0.143,0.333,0.476,0.143,2,2,0,0,0,1,2,3,7,4,1,0,0,1,0,0,-,0,0,9,50,6,0.429,50,2,0,42.86,42.86,0.286,0.125,16,0,0,2,84,4.667,2,11.11,3,16.67,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,18,5,13,1,0,2,0,3,0,0,0,0,-,0,0
